"m:0","m:1","m:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.053229,7.2242e-05,0.99857,1,3.5224e-08,3.5224e-08,1.19e-07,1.52e-07
-0.054262,7.3639e-05,0.99852,1,3.5462e-08,3.5462e-08,1.19e-07,1.52e-07
-0.055294,7.5037e-05,0.99847,1,3.57e-08,3.57e-08,1.19e-07,1.52e-07
-0.056327,7.6434e-05,0.99841,1,3.5938e-08,3.5938e-08,1.19e-07,1.52e-07
-0.057531,7.81e-05,0.99834,1,3.6176e-08,3.6176e-08,1.19e-07,1.52e-07
-0.058796,7.9861e-05,0.99826,1,3.6414e-08,3.6414e-08,1.19e-07,1.52e-07
-0.060061,8.1621e-05,0.99818,1,3.6652e-08,3.6652e-08,1.19e-07,1.52e-07
-0.061326,8.3382e-05,0.9981,1,3.689e-08,3.689e-08,1.19e-07,1.52e-07
-0.062591,8.5142e-05,0.99803,1,3.7128e-08,3.7128e-08,1.19e-07,1.52e-07
-0.063856,8.6903e-05,0.99795,1,3.7366e-08,3.7366e-08,1.19e-07,1.52e-07
-0.065121,8.8663e-05,0.99787,1,3.7604e-08,3.7604e-08,1.19e-07,1.52e-07
-0.066386,9.0424e-05,0.99779,1,3.7842e-08,3.7842e-08,1.19e-07,1.52e-07
-0.06775,9.2342e-05,0.9977,1,3.808e-08,3.808e-08,1.19e-07,1.52e-07
-0.069308,9.457e-05,0.99758,1,3.8318e-08,3.8318e-08,1.19e-07,1.52e-07
-0.070867,9.6798e-05,0.99747,1,3.8556e-08,3.8556e-08,1.19e-07,1.52e-07
-0.072425,9.9026e-05,0.99735,1,3.8794e-08,3.8794e-08,1.19e-07,1.52e-07
-0.073984,0.00010125,0.99724,1,3.9032e-08,3.9032e-08,1.19e-07,1.52e-07
-0.075542,0.00010348,0.99712,1,3.927e-08,3.927e-08,1.19e-07,1.52e-07
-0.077101,0.00010571,0.99701,1,3.9508e-08,3.9508e-08,1.19e-07,1.52e-07
-0.078659,0.00010794,0.99689,1,3.9746e-08,3.9746e-08,1.19e-07,1.52e-07
-0.080218,0.00011017,0.99678,1,3.9984e-08,3.9984e-08,1.19e-07,1.52e-07
-0.082123,0.00011296,0.99661,1,4.0222e-08,4.0222e-08,1.19e-07,1.52e-07
-0.084053,0.00011579,0.99644,1,4.046e-08,4.046e-08,1.19e-07,1.52e-07
-0.085982,0.00011862,0.99627,1,4.0698e-08,4.0698e-08,1.19e-07,1.52e-07
-0.087912,0.00012146,0.99609,1,4.0936e-08,4.0936e-08,1.19e-07,1.52e-07
-0.089842,0.00012429,0.99592,1,4.1174e-08,4.1174e-08,1.19e-07,1.52e-07
-0.091772,0.00012712,0.99575,1,4.1412e-08,4.1412e-08,1.19e-07,1.52e-07
-0.093702,0.00012995,0.99558,1,4.165e-08,4.165e-08,1.19e-07,1.52e-07
-0.095632,0.00013278,0.99541,1,4.1888e-08,4.1888e-08,1.19e-07,1.52e-07
-0.09781,0.00013603,0.99519,1,4.2126e-08,4.2126e-08,1.19e-07,1.52e-07
-0.10021,0.00013965,0.99493,1,4.2364e-08,4.2364e-08,1.19e-07,1.52e-07
-0.10261,0.00014326,0.99468,1,4.2602e-08,4.2602e-08,1.19e-07,1.52e-07
-0.10501,0.00014688,0.99442,1,4.284e-08,4.284e-08,1.19e-07,1.52e-07
-0.10741,0.00015049,0.99416,1,4.3078e-08,4.3078e-08,1.19e-07,1.52e-07
-0.10981,0.00015411,0.99391,1,4.3316e-08,4.3316e-08,1.19e-07,1.52e-07
-0.11221,0.00015772,0.99365,1,4.3554e-08,4.3554e-08,1.19e-07,1.52e-07
-0.1146,0.00016134,0.99339,1,4.3792e-08,4.3792e-08,1.19e-07,1.52e-07
-0.11708,0.00016508,0.99312,1,4.403e-08,4.403e-08,1.19e-07,1.52e-07
-0.12007,0.00016971,0.99273,1,4.4268e-08,4.4268e-08,1.19e-07,1.52e-07
-0.12306,0.00017434,0.99234,1,4.4506e-08,4.4506e-08,1.19e-07,1.52e-07
-0.12605,0.00017897,0.99195,1,4.4744e-08,4.4744e-08,1.19e-07,1.52e-07
-0.12905,0.00018361,0.99156,1,4.4982e-08,4.4982e-08,1.19e-07,1.52e-07
-0.13204,0.00018824,0.99117,1,4.522e-08,4.522e-08,1.19e-07,1.52e-07
-0.13503,0.00019287,0.99078,1,4.5458e-08,4.5458e-08,1.19e-07,1.52e-07
-0.13802,0.0001975,0.99039,1,4.5696e-08,4.5696e-08,1.19e-07,1.52e-07
-0.14101,0.00020213,0.99,1,4.5934e-08,4.5934e-08,1.19e-07,1.52e-07
-0.14454,0.00020771,0.98946,1,4.6172e-08,4.6172e-08,1.19e-07,1.52e-07
-0.14828,0.00021365,0.98886,1,4.641e-08,4.641e-08,1.19e-07,1.52e-07
-0.15202,0.0002196,0.98826,1,4.6648e-08,4.6648e-08,1.19e-07,1.52e-07
-0.15575,0.00022554,0.98767,1,4.6886e-08,4.6886e-08,1.19e-07,1.52e-07
-0.15949,0.00023149,0.98707,1,4.7124e-08,4.7124e-08,1.19e-07,1.52e-07
-0.16323,0.00023743,0.98647,1,4.7362e-08,4.7362e-08,1.19e-07,1.52e-07
-0.16696,0.00024338,0.98588,1,4.76e-08,4.76e-08,1.19e-07,1.52e-07
-0.1707,0.00024932,0.98528,1,4.7838e-08,4.7838e-08,1.19e-07,1.52e-07
-0.17473,0.00025581,0.98458,1,4.8076e-08,4.8076e-08,1.19e-07,1.52e-07
-0.1794,0.00026345,0.98367,1,4.8314e-08,4.8314e-08,1.19e-07,1.52e-07
-0.18407,0.0002711,0.98275,1,4.8552e-08,4.8552e-08,1.19e-07,1.52e-07
-0.18874,0.00027874,0.98183,1,4.879e-08,4.879e-08,1.19e-07,1.52e-07
-0.1934,0.00028638,0.98091,1,4.9028e-08,4.9028e-08,1.19e-07,1.52e-07
-0.19807,0.00029403,0.97999,1,4.9266e-08,4.9266e-08,1.19e-07,1.52e-07
-0.20274,0.00030167,0.97908,1,4.9504e-08,4.9504e-08,1.19e-07,1.52e-07
-0.20741,0.00030931,0.97816,1,4.9742e-08,4.9742e-08,1.19e-07,1.52e-07
-0.21207,0.00031695,0.97724,1,4.998e-08,4.998e-08,1.19e-07,1.52e-07
-0.21779,0.00032659,0.97586,1,5.0218e-08,5.0218e-08,1.19e-07,1.52e-07
-0.22361,0.0003364,0.97445,1,5.0456e-08,5.0456e-08,1.19e-07,1.52e-07
-0.22942,0.00034622,0.97303,1,5.0694e-08,5.0694e-08,1.19e-07,1.52e-07
-0.23524,0.00035604,0.97161,1,5.0932e-08,5.0932e-08,1.19e-07,1.52e-07
-0.24105,0.00036585,0.97019,1,5.117e-08,5.117e-08,1.19e-07,1.52e-07
-0.24687,0.00037567,0.96877,1,5.1408e-08,5.1408e-08,1.19e-07,1.52e-07
-0.25269,0.00038549,0.96735,1,5.1646e-08,5.1646e-08,1.19e-07,1.52e-07
-0.2585,0.00039531,0.96593,1,5.1884e-08,5.1884e-08,1.19e-07,1.52e-07
-0.26503,0.00040653,0.96411,1,5.2122e-08,5.2122e-08,1.19e-07,1.52e-07
-0.27223,0.0004191,0.96192,1,5.236e-08,5.236e-08,1.19e-07,1.52e-07
-0.27944,0.00043166,0.95972,1,5.2598e-08,5.2598e-08,1.19e-07,1.52e-07
-0.28664,0.00044422,0.95752,1,5.2836e-08,5.2836e-08,1.19e-07,1.52e-07
-0.29385,0.00045679,0.95532,1,5.3074e-08,5.3074e-08,1.19e-07,1.52e-07
-0.30105,0.00046935,0.95312,1,5.3312e-08,5.3312e-08,1.19e-07,1.52e-07
