"m:0","m:1","m:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.11613,-0.00020211,0.9932,1,5.4264e-08,5.4264e-08,1.19e-07,1.52e-07
-0.11909,-0.00020788,0.99282,1,5.4502e-08,5.4502e-08,1.19e-07,1.52e-07
-0.12205,-0.00021365,0.99245,1,5.474e-08,5.474e-08,1.19e-07,1.52e-07
-0.125,-0.00021942,0.99208,1,5.4978e-08,5.4978e-08,1.19e-07,1.52e-07
-0.12796,-0.00022519,0.9917,1,5.5216e-08,5.5216e-08,1.19e-07,1.52e-07
-0.13092,-0.00023096,0.99133,1,5.5454e-08,5.5454e-08,1.19e-07,1.52e-07
-0.13387,-0.00023673,0.99096,1,5.5692e-08,5.5692e-08,1.19e-07,1.52e-07
-0.13683,-0.0002425,0.99058,1,5.593e-08,5.593e-08,1.19e-07,1.52e-07
-0.14032,-0.00024947,0.99007,1,5.6168e-08,5.6168e-08,1.19e-07,1.52e-07
-0.14403,-0.00025694,0.98949,1,5.6406e-08,5.6406e-08,1.19e-07,1.52e-07
-0.14774,-0.0002644,0.98891,1,5.6644e-08,5.6644e-08,1.19e-07,1.52e-07
-0.15146,-0.00027186,0.98834,1,5.6882e-08,5.6882e-08,1.19e-07,1.52e-07
-0.15517,-0.00027933,0.98776,1,5.712e-08,5.712e-08,1.19e-07,1.52e-07
-0.15888,-0.00028679,0.98718,1,5.7358e-08,5.7358e-08,1.19e-07,1.52e-07
-0.16259,-0.00029426,0.98661,1,5.7596e-08,5.7596e-08,1.19e-07,1.52e-07
-0.16631,-0.00030172,0.98603,1,5.7834e-08,5.7834e-08,1.19e-07,1.52e-07
-0.1703,-0.00030986,0.98536,1,5.8072e-08,5.8072e-08,1.19e-07,1.52e-07
-0.17497,-0.00031953,0.98446,1,5.831e-08,5.831e-08,1.19e-07,1.52e-07
-0.17963,-0.00032921,0.98357,1,5.8548e-08,5.8548e-08,1.19e-07,1.52e-07
-0.18429,-0.00033889,0.98268,1,5.8786e-08,5.8786e-08,1.19e-07,1.52e-07
-0.18895,-0.00034856,0.98178,1,5.9024e-08,5.9024e-08,1.19e-07,1.52e-07
-0.19361,-0.00035824,0.98089,1,5.9262e-08,5.9262e-08,1.19e-07,1.52e-07
